District Name,Block/Tehsil Name,water_body_name,latitude_dec,longitude_dec
SOUH WEST,KAPAS HERA,near bus stand,28.546944,76.963056
EAST,MAYUR VIHAR,NA,28.592778,77.299444
SOUH WEST,NAJAFGARH,KKN shani dev mandir,28.586389,76.9625
WEST,PATEL NAGAR,Posangi pur near BSNL office janakpuri,28.624722,77.073611
NORTH,NARELA,NA,28.806389,76.969444
NORTH,NARELA,Near Hanuman Mandir,28.805833,76.983889
NORTH EAST,KARAWAL NAGAR,NA,28.746667,77.222778
NORTH,NARELA,NA,28.798333,77.009444
SOUH WEST,KAPAS HERA,DDA JHOD,28.542222,77.03
SOUH WEST,KAPAS HERA,dda water body,28.544167,77.054444
SOUH WEST,KAPAS HERA,JHOD ,28.516111,77.060556
EAST,NA,NA,28.694167,77.321667
EAST,MAYUR VIHAR,NA,28.613889,77.288611
EAST,PREET VIHAR,NA,28.71,77.252222
SOUH WEST,DWARKA,Nasirpur water body park near shiv mandir pocket nine,28.596944,77.09
NEW DELHI,DELHI CANT.,Naraina waterbody near naraina industrial phase one,28.627222,77.13
NORTH,NARELA,Near Mungeshpur Drain,28.816389,76.975556
NORTH EAST,SEELAMPUR,NA,28.675278,77.260556
SOUH WEST,KAPAS HERA,near main road,28.555833,76.937222
SOUH WEST,KAPAS HERA,near bus stand,28.521111,76.964444
EAST,NA,NA,28.668333,77.256944
EAST,NA,NA,28.6975,77.315556
SOUH WEST,KAPAS HERA,Chawla,28.555556,77.005833
EAST,MAYUR VIHAR,NA,28.609444,77.294167
SOUH WEST,DWARKA,Nasirpur water body near manjeet apartments,28.599167,77.086389
WEST,RAJOURI GARDEN,Tihar lake near shamshan ghat,28.632222,77.105556
WEST,PUNJABI BAGH,Near DDA Park and Lake Madipur,28.669167,77.12
NORTH EAST,KARAWAL NAGAR,NA,28.727778,77.245556
NORTH,NARELA,Mary Gold Sport Complex,28.798333,76.971944
NORTH,NARELA,NA,28.823889,76.973611
NORTH EAST,SEELAMPUR,NA,28.700833,77.248889
NORTH,ALIPUR,Mukhmelpur Water Body ,28.792222,77.167222
SOUH WEST,KAPAS HERA,near baba amardas ashram,28.535833,76.970833
NORTH,NARELA,NA,28.794167,77.035833
NORTH,NARELA,NA,28.811389,77.003611
NORTH,ALIPUR,Mukhmelpur Water Body ,28.796944,77.171667
NORTH WEST,ROHINI,Near Akash Model School,28.707778,77.053056
NORTH WEST,ROHINI,NA,28.704444,77.046389
NORTH WEST,ROHINI,NA,28.716667,77.075556
SOUH WEST,DWARKA,Near valmiki chaupal,28.604444,77.0175
SOUH WEST,KAPAS HERA,near T point,28.521944,77.013611
SOUH WEST,KAPAS HERA,near nala road,28.533056,76.998889
NORTH WEST,KANJHAWLA,NA,28.736389,77.001667
SOUH WEST,KAPAS HERA,NA,28.535278,76.945278
NORTH,NARELA,NA,28.807778,77.030833
SOUH WEST,KAPAS HERA,Encroached water body,28.520556,76.985278
SOUH WEST,KAPAS HERA,Encroached water body,28.519722,76.980833
SOUH WEST,KAPAS HERA,Encroached water body,28.518611,76.983889
SOUH WEST,KAPAS HERA,near farms,28.535,76.981111
SOUH WEST,KAPAS HERA,NA,28.534444,76.924722
SOUH WEST,KAPAS HERA,near holy chowk,28.553611,76.943333
SOUH WEST,DWARKA,Near nursery of plants ,28.574444,77.051667
NEW DELHI,DELHI CANT.,DDA JHOD,28.558056,77.068611
NEW DELHI,DELHI CANT.,NO WATER BODY ,28.56,77.056944
NORTH WEST,KANJHAWLA,NA,28.771667,76.998333
SOUH WEST,KAPAS HERA,near phirni,28.543056,76.955278
SOUH WEST,KAPAS HERA,near bses office,28.541944,76.964167
SOUH WEST,KAPAS HERA,Near DN cricket ground,28.570556,76.989167
SOUH WEST,KAPAS HERA,Near rajwada farms,28.576111,76.987778
NORTH WEST,SARASWATI VIHAR,Village harsh vihar,28.699722,77.140278
SOUH WEST,KAPAS HERA,main road,28.541389,76.9275
SOUH WEST,KAPAS HERA,Rewla khanpur,28.574722,76.985833
NEW DELHI,DELHI CANT.,dda water body,28.555278,77.069444
SOUH WEST,KAPAS HERA,near govt school,28.529722,76.987222
SOUH WEST,KAPAS HERA,NA,28.531944,76.918611
SOUH WEST,KAPAS HERA,NA,28.533611,76.923056
SOUH WEST,KAPAS HERA,NA,28.536944,76.925556
SOUH WEST,KAPAS HERA,near kabristan,28.517778,76.964722
SOUH WEST,KAPAS HERA,near bank,28.545556,76.988056
