District Name,Block/Tehsil Name,water_body_name,latitude_dec,longitude_dec
SOUH EAST,KALKA JI,Tughlakabad F,28.508889,77.267778
NORTH WEST,KANJHAWLA,Near Balmiki Basti,28.725556,77.038333
SOUTH,HAUZ KHAS,DDA play ground exist,28.524444,77.211111
SOUTH,HAUZ KHAS,BUILDING DEVELOPED,28.556111,77.236667
SOUTH,HAUZ KHAS,Park in said area,28.558889,77.215833
SOUTH,SAKET,NA,28.502778,77.201389
SOUTH,MEHRAULI,SANJAY VAN,28.5125,77.145
SOUH EAST,KALKA JI,Tughlakabad F,28.508889,77.264167
SOUH EAST,KALKA JI,Tughlakabad ,28.494167,77.2475
SOUH EAST,KALKA JI,TUGLAKABAD FORT ,28.508889,77.261667
SOUH EAST,KALKA JI,Tughlakabad ,28.514167,77.267778
NORTH,MODEL TOWN,Dhir Pur F Seventy Five,28.720278,77.208611
SOUH EAST,KALKA JI,Tughlakabad ,28.518889,77.256944
NORTH,MODEL TOWN,Azadpur F Seventy Six,28.727222,77.191944
NORTH WEST,SARASWATI VIHAR,In Prashant Vihar,28.716944,77.135
NORTH WEST,SARASWATI VIHAR,village shakur pur,28.678056,77.153611
NEW DELHI,VASANT VIHAR,Chatt ghat water body ,28.546667,77.129722
NEW DELHI,VASANT VIHAR,NO WATER BODY ,28.522222,77.099167
WEST,PATEL NAGAR,Matiala,28.669722,77.121667
WEST,RAJOURI GARDEN,TIhar near BSES enforcement office,28.630278,77.111111
NORTH WEST,ROHINI,Near Govt School,28.706389,77.055833
NEW DELHI,DELHI CANT.,NO water body,28.561389,77.056111
NORTH WEST,KANJHAWLA,Sh Daya Ram shop,28.731111,76.960278
NORTH,ALIPUR,Ibrahimpur,28.775556,77.179167
NORTH,ALIPUR,Hamidpur Water Body ,28.829722,77.148889
EAST,MAYUR VIHAR,NA,28.612222,77.3125
NORTH EAST,SEELAMPUR,NA,28.694722,77.242778
NORTH EAST,SEELAMPUR,NA,28.694722,77.27
NORTH,ALIPUR,Bakhtawarpur Water Body,28.821111,77.172778
EAST,NA,NA,28.612778,77.301667
NORTH EAST,KARAWAL NAGAR,NA,28.723889,77.264167
CENTRAL,NA,Kamalpur Majra,28.751667,77.191944
CENTRAL,NA,SHAKTI STHAL LAKE,28.643333,77.246944
SOUTH,HAUZ KHAS,Hauz Khas Pond,28.553889,77.192222
SOUTH,SAKET,aSOLA,28.458611,77.181944
SOUTH,HAUZ KHAS,COLONY DEVELOPED ,28.537778,77.216944
SOUTH,HAUZ KHAS,DEVELOPED PARK BY DDA,28.544444,77.213056
SOUH EAST,SARITA VIHAR,Jasola ,28.548333,77.275833
SOUTH,HAUZ KHAS,Park in said area,28.561944,77.203889
SOUTH,MEHRAULI,FATEHPUR BERI,28.458889,77.176944
SOUTH,MEHRAULI,jHOD,28.443611,77.179444
SOUTH,MEHRAULI,Shiv Hansa Chowk Jhod,28.470556,77.128611
SOUTH,MEHRAULI,Chandan hulla Johad,28.468889,77.181944
SOUTH,MEHRAULI,Private farm house exist,28.473333,77.167222
SOUTH,SAKET,Forest area,28.489722,77.220833
SOUTH,SAKET,Park in said area,28.501111,77.230278
SOUTH,SAKET,Maidan Garhi,28.478611,77.207778
NORTH,NARELA,NA,28.808611,76.968611
NORTH,NARELA,NA,28.816667,76.969722
NORTH,ALIPUR,Tigipur water body ,28.821944,77.188611
NORTH WEST,KANJHAWLA,NA,28.695,76.997222
SOUTH,MEHRAULI,Near Metro station,28.546667,77.193889
SOUTH,MEHRAULI,Kholi dham johad,28.465833,77.139444
NORTH WEST,ROHINI,NA,28.697222,77.096944
SOUH EAST,SARITA VIHAR,Aali,28.516944,77.301111
SOUTH,MEHRAULI,DERA MANDI JHOD,28.435278,77.179444
SOUTH,SAKET,aSOLA JHOD,28.486667,77.186944
SOUH EAST,KALKA JI,Tughlakabad ,28.5025,77.253333
SOUH EAST,SARITA VIHAR,Molar Band ,28.501944,77.311944
SOUH EAST,SARITA VIHAR,Jasola ,28.508333,77.326667
